TransactionID,TransactionDT,fe_time_rel_days,TransactionAmt,ProductCD,raw_model_prob,calibrated_prob,risk_band,decision,risk_score
3675896,18807728,216.68203703703702,150.0,R,0.99687195,1.0,4_CRITICAL,BLOCK,100.0
3679969,18920690,217.98946759259258,194.769,C,0.99759614,1.0,4_CRITICAL,BLOCK,100.0
3680019,18921734,218.00155092592593,194.769,C,0.9969619,1.0,4_CRITICAL,BLOCK,100.0
3680023,18921882,218.00326388888888,194.769,C,0.9970635,1.0,4_CRITICAL,BLOCK,100.0
3680039,18922194,218.00687499999998,194.769,C,0.9968699,1.0,4_CRITICAL,BLOCK,100.0
3680255,18927085,218.06348379629628,194.769,C,0.99758357,1.0,4_CRITICAL,BLOCK,100.0
3688871,19256794,221.87956018518517,27.666,C,0.99681854,1.0,4_CRITICAL,BLOCK,100.0
3688898,19257199,221.8842476851852,27.666,C,0.9969925,1.0,4_CRITICAL,BLOCK,100.0
3691793,19351085,222.9708912037037,400.0,R,0.9968374,1.0,4_CRITICAL,BLOCK,100.0
3693345,19417073,223.7346412037037,200.0,R,0.9977253,1.0,4_CRITICAL,BLOCK,100.0
3697865,19540666,225.16511574074073,300.0,R,0.9968262,1.0,4_CRITICAL,BLOCK,100.0
3697920,19543836,225.20180555555555,80.17,C,0.99701685,1.0,4_CRITICAL,BLOCK,100.0
3698415,19581910,225.64247685185185,80.17,C,0.9970352,1.0,4_CRITICAL,BLOCK,100.0
3700142,19621938,226.10576388888887,300.0,R,0.9972195,1.0,4_CRITICAL,BLOCK,100.0
3702009,19702355,227.03651620370368,52.442,C,0.99707186,1.0,4_CRITICAL,BLOCK,100.0
3702017,19702535,227.03859953703702,52.442,C,0.9978245,1.0,4_CRITICAL,BLOCK,100.0
3702061,19703279,227.04721064814814,78.571,C,0.99696517,1.0,4_CRITICAL,BLOCK,100.0
3702062,19703314,227.04761574074072,78.571,C,0.9968018,1.0,4_CRITICAL,BLOCK,100.0
3702065,19703355,227.04809027777776,78.571,C,0.99706876,1.0,4_CRITICAL,BLOCK,100.0
3702069,19703400,227.0486111111111,78.571,C,0.9978196,1.0,4_CRITICAL,BLOCK,100.0
